,Station_Name,Station_ref_code
0,Cape Cod/Buzzards Bay PORTS,ca0101
1,Chesapeake Bay South PORTS,cb0102
2,Chesapeake Bay South PORTS,cb0201
3,Chesapeake Bay South PORTS,cb0301
4,Chesapeake Bay South PORTS,cb0402
5,Chesapeake Bay South PORTS,cb0601
6,Chesapeake Bay North PORTS,cb0801
7,Chesapeake Bay North PORTS,cb1001
8,Chesapeake Bay North PORTS,cb1102
9,Chesapeake Bay North PORTS,cb1301
10,Chesapeake Bay South PORTS,cb1401
11,Corpus Christi PORTS,cc0101
12,Corpus Christi PORTS,cc0201
13,Corpus Christi PORTS,cc0302
14,Corpus Christi PORTS,cc0401
15,Corpus Christi PORTS,cc0501
16,Corpus Christi PORTS,cc0601
17,Columbia River Survey Real Time PORTS,cl2206
18,Cherry Point PORTS,cp0101
19,Delaware River and Bay PORTS,db0301
20,Freeport PORTS,fr0101
21,Freeport PORTS,fr0201
22,Houston/Galveston Bay PORTS,g06010
23,Houston/Galveston Bay PORTS,g08010
24,Houston/Galveston Bay PORTS,g09010
25,Houston/Galveston Bay PORTS,g10010
26,Houston/Galveston Bay PORTS,g11010
27,Cuyahoga PORTS,gl0101
28,Toledo PORTS,gl0201
29,Humboldt Bay PORTS,hb0302
30,Humboldt Bay PORTS,hb0401
31,Jacksonville PORTS,jx0102
32,Jacksonville PORTS,jx0302
33,Jacksonville PORTS,jx0401
34,Jacksonville PORTS,jx0501
35,Jacksonville PORTS,jx0601
36,Jacksonville PORTS,jx0701
37,Kings Bay PORTS,kb0102
38,Kings Bay PORTS,kb0201
39,Kings Bay PORTS,kb0301
40,Kings Bay PORTS,kb0401
41,Kings Bay PORTS,kb0501
42,Kings Bay PORTS,kb0601
43,Kitsap PORTS,ks0101
44,Kitsap PORTS,ks0201
45,Lake Charles PORTS,lc0101
46,Lake Charles PORTS,lc0102
47,Lake Charles PORTS,lc0201
48,Lake Charles PORTS,lc0301
49,Mobile Bay PORTS,mb0302
50,Mobile Bay PORTS,mb0402
51,Mobile Bay PORTS,mb0501
52,Morgan City PORTS,mc0101
53,Matagorda Bay PORTS,mg0101
54,Matagorda Bay PORTS,mg0201
55,Miami PORTS,mi0101
56,Miami PORTS,mi0201
57,Miami PORTS,mi0301
58,New York/New Jersey Harbor PORTS,n03020
59,New York/New Jersey Harbor PORTS,n06010
60,New York/New Jersey Harbor PORTS,n07010
61,New London PORTS,nl0101
62,Port Everglades PORTS,pe0101
63,Port Everglades PORTS,pe0201
64,Portsmouth PORTS,pm0101
65,San Francisco Bay PORTS,s06010
66,San Francisco Bay PORTS,s08010
67,San Francisco Bay PORTS,s09010
68,San Francisco Bay PORTS,s10010
69,Sabine Neches PORTS,sn0101
70,Sabine Neches PORTS,sn0201
71,Sabine Neches PORTS,sn0301
72,Sabine Neches PORTS,sn0401
73,Sabine Neches PORTS,sn0501
74,Sabine Neches PORTS,sn0601
75,Sabine Neches PORTS,sn0701
76,Sabine Neches PORTS,sn0801
77,Tampa Bay PORTS,t01010
78,Tampa Bay PORTS,t02010
79,Tampa Bay PORTS,t03010
80,Tampa Bay PORTS,t04010
